set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
120,5.75,1.94,0.274,-0.11,247.7,0.0,0.0,0.16416098,0.0097587295,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,262.72,0.2107,0.06684,0.18816046,0.006810201,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,277.72,0.2091,0.05635,0.21770896,0.0076664137,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,292.72,0.3457,0.08686,0.2522153,0.013985673,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,307.7,0.4118,0.05292,0.2896858,0.022742696,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,322.66,0.4278,0.05068,0.32627302,0.032022715,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,337.6,0.3885,0.05544,0.35626128,0.0399577,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
120,5.75,1.94,0.274,-0.11,352.54,0.438,0.05919,0.37339905,0.044594873,-2.9830465,1.3173637,-2.0770686,2.2491808,-0.49368733,6.7707095,0.0036304435,0.0090762
121,5.75,1.94,0.274,-0.15,7.43,0.4069,0.0457,0.48972332,0.005712702,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,22.31,0.4165,0.04674,0.44677722,0.004805892,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,37.23,0.3557,0.03797,0.37872657,0.0034008357,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,52.19,0.3116,0.03124,0.30643085,0.0019753787,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,67.18,0.223,0.03168,0.2427081,0.00086447375,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,82.18,0.1756,0.03403,0.19187994,0.00058524084,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,97.2,0.1691,0.02726,0.15345721,0.0010231626,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,112.24,0.1368,0.03764,0.12538539,0.001400844,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,127.28,0.0,0.0,0.10551362,0.001653373,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,142.33,0.0,0.0,0.092045486,0.0018102946,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,157.4,0.0,0.0,0.08371402,0.0018996677,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,172.46,0.0,0.0,0.079741254,0.0019398425,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,187.54,0.0,0.0,0.079741254,0.0019398425,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,202.6,0.0,0.0,0.08371394,0.001899667,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,217.67,0.0,0.0,0.092045486,0.0018102947,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,232.72,0.0,0.0,0.10551362,0.001653373,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,247.76,0.1482,0.0601,0.12538539,0.0014008445,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,262.8,0.1245,0.0296,0.15345718,0.0010231633,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
121,5.75,1.94,0.274,-0.15,277.82,0.1916,0.02737,0.19187994,0.0005852411,-0.5083485,0.16496806,-0.52562755,0.16846055,-0.6785151,0.20800073,0.005300279,0.0005240137
